Трекинг начат.
Нажата клавиша: '0'
Клавиша отпущена: '0'
Нажата клавиша: '1'
Клавиша отпущена: '1'
Нажата клавиша: '2'
Клавиша отпущена: '2'
Нажата клавиша: Key.enter
Клавиша отпущена: Key.enter
Нажата клавиша: '1'
Клавиша отпущена: '1'
Нажата клавиша: Key.backspace
Клавиша отпущена: Key.backspace
Нажата клавиша: 'h'
Клавиша отпущена: 'h'
Нажата клавиша: 'e'
Клавиша отпущена: 'e'
Нажата клавиша: 'l'
Клавиша отпущена: 'l'
Нажата клавиша: 'l'
Клавиша отпущена: 'l'
Нажата клавиша: 'o'
Клавиша отпущена: 'o'
Нажата клавиша: Key.enter
Клавиша отпущена: Key.enter
Нажата клавиша: '`'
Клавиша отпущена: '`'
Нажата клавиша: '/'
Клавиша отпущена: '/'
Нажата клавиша: '+'
Клавиша отпущена: '+'
Ошибка: Нажата клавиша Tab
Клавиша отпущена: Key.tab
Нажата клавиша: 'r'
Клавиша отпущена: 'r'
Нажата клавиша: Key.enter
Клавиша отпущена: Key.enter
Нажата клавиша: Key.ctrl
Нажата клавиша: Key.esc
Трекинг завершен.
